Guest OS Analysis for Google Demo Customer
,
Applied Filters
None
,
Table Data
VM Name,Tags,Severity,VM State,Guest OS,End of Support,32/64 bits,vCPU,vRAM (GB),Tools Installed
VM-122387,Hadoop;PoweredOn;win2008on;windows_power_on,Need Attention,Powered On,Windows Server 2008,14 Jan 2020,32-bit,1,4.00,Installed
VM-122395,Hadoop;PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,1,3.00,Installed
VM-122396,Hadoop;PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,2,3.00,Installed
VM-122398,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,8.00,Installed
VM-122617,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,8,8.00,Installed
VM-122619,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,1,2.00,Installed
VM-122626,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,32.00,Installed
VM-122632,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,12.00,Installed
VM-122634,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,1,2.00,Installed
VM-122651,Hadoop;PoweredOn;win2008on;windows_power_on,Need Attention,Powered On,Windows Server 2008,14 Jan 2020,32-bit,2,4.00,Installed
VM-122652,Hadoop;PoweredOn,Noteworthy,Powered On,CentOS 4/5/6,,32-bit,1,0.25,Installed
VM-122655,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2003,14 Jul 2015,64-bit,1,1.00,Installed
VM-122659,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,12.00,Installed
VM-122661,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,16.00,Installed
VM-122663,Hadoop;PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-122687,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008,14 Jan 2020,64-bit,1,2.00,Installed
VM-122689,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,1,2.00,Installed
VM-122694,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,4.00,Installed
VM-122709,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,2,4.00,Installed
VM-122712,Hadoop;PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,2,4.00,Installed
VM-122716,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,6,12.00,Installed
VM-122718,Hadoop;PoweredOn;win2008on;windows_power_on,Need Attention,Powered On,Windows Server 2008,14 Jan 2020,32-bit,4,20.00,Installed
VM-122719,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,2,22.00,Installed
VM-122730,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2003,14 Jul 2015,32-bit,1,2.00,Installed
VM-122742,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,1,2.00,Installed
VM-122750,Hadoop;PoweredOn,Need Attention,Powered Off,Red Hat Enterprise Linux 5,31 Mar 2020,64-bit,1,1.00,Installed
VM-122754,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008,14 Jan 2020,32-bit,1,2.00,Installed
VM-122760,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2003 Standard,14 Jul 2015,32-bit,1,1.00,Installed
VM-1229113,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-122980,Hadoop;PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,3.00,Installed
VM-123026,PoweredOn,Need Attention,Powered Off,Red Hat Enterprise Linux 5,31 Mar 2020,32-bit,2,1.00,Installed
VM-123047,PoweredOn,Need Attention,Powered Off,Windows Server 2008,14 Jan 2020,64-bit,2,32.00,Installed
VM-123048,PoweredOn,Need Attention,Powered Off,Windows Server 2008,14 Jan 2020,64-bit,4,32.00,Installed
VM-123049,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-123050,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,1,8.00,Installed
VM-123052,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-123054,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-123072,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,16.00,Installed
VM-123078,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,8,16.00,Installed
VM-123079,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,4,16.00,Installed
VM-123081,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,4,16.00,Installed
VM-1233262,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1233270,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1238299,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,8.00,Installed
VM-1240930,PoweredOn,Need Attention,Powered Off,Oracle Solaris 10,1 Jan 2021,64-bit,2,2.00,Installed
VM-125422,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-125425,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1255749,PoweredOn,Need Attention,Powered Off,Windows Server 2008,14 Jan 2020,32-bit,2,4.00,Installed
VM-1261690,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,4.00,Installed
VM-127072,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1279503,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,6.00,Installed
VM-128769,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,1,3.00,Installed
VM-1294222,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-1294232,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-1294234,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-1294236,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-1295378,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,12.00,Installed
VM-1308494,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,10,50.00,Installed
