Guest OS Analysis for Google Demo Customer
,
Applied Filters
None
,
Table Data
VM Name,Tags,Severity,VM State,Guest OS,End of Support,32/64 bits,vCPU,vRAM (GB),Tools Installed
VM-1881713,PoweredOn;windows_power_on,Need Attention,Powered On,Windows Server 2003 Standard,14 Jul 2015,32-bit,2,4.00,Installed
VM-188809,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-188810,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1906061,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,20.00,Installed
VM-1906064,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,20.00,Installed
VM-1912494,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,6,32.00,Installed
VM-1912506,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-1912517,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,1,2.00,Installed
VM-1912518,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,1,2.00,Installed
VM-1912536,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,6,8.00,Installed
VM-1912506_replica,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-1084859_replica,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,32.00,Installed
VM-1721311_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-1938831,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,12.00,Installed
VM-1958955,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1961695,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,12,24.00,Installed
VM-1962736,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,40.00,Installed
VM-1962747,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,40.00,Installed
VM-1962761,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,40.00,Installed
VM-1962777,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,3,20.00,Installed
VM-196663,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,2.00,Installed
VM-1972858,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991508,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991514,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991518,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991523,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1991539,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991540,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991545,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991547,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991550,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1991627,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2010936,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,3.00,Installed
VM-2010963,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,6,16.00,Installed
VM-2011107,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,24.00,Installed
VM-204675,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,6.00,Installed
VM-2058801,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2058802,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-212149,PoweredOn,Normal,Powered On,Ubuntu Linux,,64-bit,4,4.00,Installed
VM-216386,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,4.00,Installed
VM-2163900,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2163905,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2163908,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2164214,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2164266,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2164267,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2164268,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2164273,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2164330,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,64.00,Installed
VM-2164389,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,2.00,Installed
VM-2183584,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,16.00,Installed
VM-2183587,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,2,8.00,Installed
VM-2186157,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2186160,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2186165,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2186371,PoweredOn,Noteworthy,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,4,24.00,Installed
VM-2186372,PoweredOn,Noteworthy,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,4,24.00,Installed
VM-2186373,PoweredOn,Noteworthy,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,4,24.00,Installed
VM-2186374,PoweredOn,Noteworthy,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,4,24.00,Installed
VM-2186534,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2212446,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,16.00,Installed
VM-2235405,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-229409,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-2339042,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2383897,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2383901,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2416912,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2429147,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,6.00,Installed
VM-2431936,PoweredOn,Need Attention,Powered Off,Red Hat Enterprise Linux 5,31 Mar 2020,32-bit,1,2.00,Installed
VM-2434076,"",Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,1.00,Installed
VM-2444049,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,1,1.00,Installed
VM-2444132,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2444133,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2444291,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,4,16.00,Installed
VM-2444293,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,4,16.00,Installed
VM-2451511,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,16.00,Installed
VM-2461776,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,2,8.00,Installed
VM-2462345,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,2,8.00,Installed
VM-2466931,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,4,8.00,Installed
VM-2466932,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,4,8.00,Installed
VM-2469555,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2471959,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,12.00,Installed
VM-2471963,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,64.00,Installed
VM-2481206,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,12.00,Installed
VM-2502780,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2521655,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,4.00,Installed
VM-1545961_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,2.00,Installed
VM-2534187,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,4.00,Installed
VM-2539196,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,64.00,Installed
VM-2548537,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,64.00,Installed
VM-2600282,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2600452,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,24,32.00,Installed
VM-2605107,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2615239,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2615364,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2631243,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,64.00,Installed
VM-2631600,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2634976,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,10,96.00,Installed
VM-2635118,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2644041,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,24.00,Installed
VM-2644048,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,24.00,Installed
VM-2659403,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-2659409,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-2659414,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2659415,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1295378_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,12.00,Installed
VM-2672126,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2672134,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2677718,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,16.00,Installed
VM-2677744,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,16.00,Installed
VM-2704876,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2716965,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2716982,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2717121,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2717129,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,16,64.00,Installed
VM-2717130,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2727366,PoweredOn,Noteworthy,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,2,8.00,Installed
VM-2727376,PoweredOn,Noteworthy,Powered On,Red Hat Enterprise Linux 7,30 Jun 2027,64-bit,2,8.00,Installed
VM-274300,PoweredOn,Normal,Powered On,SUSE Linux Enterprise 11,,64-bit,1,0.59,Installed
VM-274809,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,6,16.00,Installed
VM-274816,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,6,16.00,Installed
VM-2752133,PoweredOn,Normal,Powered Off,Ubuntu Linux,,64-bit,2,4.00,Installed
VM-2752210,PoweredOn,Normal,Powered On,Ubuntu Linux,,64-bit,2,4.00,Installed
VM-2753857,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2753859,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2753857_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2753859_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2779962,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,1,2.00,Installed
VM-27839,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-27841,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-2784331,PoweredOn,Noteworthy,Powered On,Linux 3.10.0-957.el7.x86_64 CentOS Linux release 7.6.1810 (Core),,"",1,2.00,Installed
VM-2789983,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2791617,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-2791618,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2791620,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2834268,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2843498,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-2850134,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,12,80.00,Installed
VM-2857443,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2859232,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,12.00,Installed
VM-2859238,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,28.00,Installed
VM-2859246,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,24.00,Installed
VM-2859253,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-2859256,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,2.00,Installed
VM-2859260,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,4.00,Installed
VM-2859262,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,4.00,Installed
VM-2859238_replica,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,28.00,Installed
VM-2872248,PoweredOn,Noteworthy,Powered On,Other 3.x or later Linux,,64-bit,6,14.00,Installed
VM-2874035,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2876287,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,2,8.00,Installed
VM-2876288,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,2,8.00,Installed
VM-2876289,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,16.00,Installed
VM-2876291,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-2876293,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-2880486,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,10,36.00,Installed
VM-2882132,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,6,16.00,Installed
VM-515885_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,16.00,Installed
VM-288630,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-288636,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-2899373,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,6.00,Installed
VM-2908607,PoweredOn,Noteworthy,Powered On,Linux 4.19.52 Other Linux 4.x or later kernel,,"",2,8.00,Installed
VM-2908762,PoweredOn,Normal,Powered Off,Other 2.6.x Linux,,32-bit,2,1.00,Installed
VM-291688,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-292310,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,24.00,Installed
VM-2950524,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,4,16.00,Installed
VM-2955565,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2957012,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2957014,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-2962951,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-29638,PoweredOn;win2008on;windows_power_on,Need Attention,Powered On,Windows Server 2008,14 Jan 2020,32-bit,2,4.00,Installed
VM-29655,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-29663,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-29677,PoweredOn;windows_power_on,Need Attention,Powered On,Windows Server 2003,14 Jul 2015,32-bit,2,4.00,Installed
VM-2998491,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-2998594,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,8.00,Installed
VM-3004731,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,16,16.00,Installed
VM-3008472,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,12,24.00,Installed
VM-3008490,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,4.00,Installed
VM-3028160,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-3053071,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-3054687,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,2,8.00,Installed
VM-306002,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,16.00,Installed
VM-3077900,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-3097587,PoweredOn,Normal,Powered Off,FreeBSD,,64-bit,2,8.00,Installed
VM-3104113,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,2.00,Installed
VM-3111843,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-3111845,PoweredOn,Noteworthy,Powered On,"Linux 4.9.194 NAME=Buildroot
VERSION=2019.02.6
ID=buildroot
VERSION_ID=2019.02.6
PRETTY_NAME=""Buildroot 2019.02.6""
APPLIANCE_VERSION=""v2.4.0""",,"",2,8.00,Installed
VM-3113286,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-3126974,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-3154800,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-3154846,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-3155028,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,10,40.00,Installed
VM-3165806,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,6,56.00,Installed
VM-3165880,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3165924,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-3165996,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3166011,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3166012,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-3166030,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3166088,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-3166089,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3166090,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3166252,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3166571,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-3167564,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-316838,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,1.00,Installed
VM-316849,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,1.00,Installed
VM-316859,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,1.00,Installed
VM-316861,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,1.00,Installed
VM-316862,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,1.00,Installed
VM-316898,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,1.00,Installed
VM-316900,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,1.00,Installed
VM-3169289,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-3178933,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-31791,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,8,16.00,Installed
VM-3188801,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,4,8.00,Installed
VM-3188949,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-3213330,PoweredOn,Normal,Powered Off,Ubuntu Linux,,64-bit,4,8.00,Installed
VM-3214649,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,4,8.00,Installed
VM-3226386,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-3231883,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-3231989,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,2.00,Installed
VM-3232100,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-3232119,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,56.00,Installed
VM-3233309,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,12,56.00,Installed
VM-3266163,PoweredOn,Normal,Powered Off,Ubuntu Linux,,64-bit,4,7.81,Installed
VM-3270565,PoweredOn,Noteworthy,Powered On,Linux 3.10.0-957.el7.x86_64 CentOS Linux release 7.8.2003 (Core),,"",2,4.00,Installed
VM-3277408,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,72.00,Installed
VM-3279807,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,12,80.00,Installed
VM-3281612,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-3285700,PoweredOn,Need Attention,Powered Off,Windows Server 2003,14 Jul 2015,64-bit,8,31.99,Installed
VM-3287570,PoweredOn,Need Attention,Powered Off,Windows Server 2003 Standard,14 Jul 2015,32-bit,1,0.50,Installed
VM-3290192,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,16,7.98,Installed
